83,200,35,131
83,198,35,131
85,196,35,131
89,198,34,129
95,199,34,130
101,200,34,129
105,201,34,130
108,201,34,129
111,201,34,129
114,202,34,129
116,202,34,129
118,200,34,129
120,200,34,130
121,200,34,130
124,203,34,130
127,202,34,130
132,202,34,130
137,202,35,131
142,201,35,132
146,199,35,134
150,199,35,134
153,199,35,134
155,199,35,134
158,197,36,135
162,197,36,135
164,197,36,134
167,196,36,135
171,197,35,134
174,196,35,134
178,197,35,134
181,196,35,134
184,194,35,134
187,193,36,134
189,192,36,134
192,192,35,134
195,192,35,134
200,193,35,134
205,192,35,134
209,191,36,134
216,190,36,135
221,191,36,135
225,190,36,136
229,188,36,137
232,188,36,137
235,187,36,137
238,187,36,138
241,187,36,137
246,188,36,136
249,187,36,136
254,188,36,137
261,187,36,137
267,189,36,137
271,190,36,137
276,189,36,137
280,190,36,137
285,189,36,138
290,190,36,137
294,190,36,138
300,190,36,137
305,191,36,137
310,190,36,137
315,190,36,138
319,190,37,138
323,189,37,139
327,189,37,139
331,189,37,139
335,189,37,139
339,191,37,139
345,192,37,138
350,194,36,138
355,193,37,138
359,194,37,138
363,194,37,139
365,194,37,139
368,193,37,139
372,194,37,139
376,194,37,139
380,195,37,139
384,194,37,139
388,195,36,138
391,194,36,138
393,194,37,138
394,193,37,139
394,191,37,139
391,192,37,140
388,190,37,141
386,191,37,141
384,193,37,140
382,193,37,139
381,193,36,137
379,193,36,137
376,194,36,136
373,195,36,137
370,195,36,137
367,196,36,137
365,198,36,137
364,198,36,137
362,199,36,137
363,200,36,136
364,201,36,135
365,201,36,135
367,201,36,136
367,200,36,137
368,199,36,138
368,200,36,137
368,201,36,137
367,202,36,137
366,203,36,136
365,206,36,135
365,207,35,134
366,207,35,134
366,207,35,133
367,206,35,133
368,206,35,133
369,206,35,133
371,205,35,133
372,204,35,133
371,205,35,132
372,206,35,132
373,207,35,132
375,209,35,132
376,210,35,132
376,212,35,132
379,212,35,131
383,212,35,131
387,211,35,132
392,211,34,130
398,210,34,130
405,209,35,132
414,209,35,132
423,209,35,133
432,209,35,131
441,207,35,132
449,207,35,132
456,207,35,132
463,207,34,130
467,207,35,131
470,207,35,131
473,206,35,132
475,207,35,133
478,207,35,133
481,207,35,134
485,207,35,134
491,208,35,134
496,207,35,134
502,207,36,134
509,207,36,135
514,207,36,135
519,207,36,135
522,207,36,135
523,207,36,135
522,206,36,136
519,206,36,136
515,206,36,136
508,205,36,136
500,203,36,137
492,202,36,138
485,202,36,137
477,202,36,137
471,203,36,136
464,204,36,136
460,204,36,136
455,204,36,136
453,203,36,135
452,202,36,136
451,202,36,137
452,201,37,138
452,199,37,139
452,197,37,139
451,198,37,139
450,197,37,139
448,197,37,139
445,197,37,139
442,196,37,139
440,194,37,140
439,194,37,141
438,193,37,141
435,193,37,142
433,193,38,142
431,194,37,142
427,193,37,141
423,194,37,141
419,193,37,141
415,192,37,141
411,191,37,142
410,191,38,143
409,191,38,144
407,192,38,144
405,191,38,143
403,190,38,143
399,191,38,143
395,191,38,142
392,190,38,142
389,189,38,143
386,188,38,143
384,189,38,144
382,189,38,144
380,190,38,144
379,191,38,144
377,191,38,143
374,191,38,143
372,191,38,143
370,189,38,143
367,190,38,143
365,190,38,143
364,191,38,143
364,191,38,143
364,192,38,143
364,193,38,143
364,193,38,143
363,194,38,142
360,194,38,142
359,193,38,142
358,192,38,142
357,190,38,143
356,190,38,143
354,189,38,143
353,188,38,143
351,188,38,142
349,188,37,141
346,188,37,141
343,188,37,141
342,188,37,141
341,186,37,141
341,186,37,141
340,187,37,140
338,188,37,139
336,188,37,139
333,190,36,138
331,189,36,138
329,189,36,138
326,189,37,138
325,189,37,139
323,188,37,139
321,188,37,138
320,188,37,138
319,187,36,138
318,187,36,138
318,188,36,136
316,185,36,136
313,184,36,136
311,183,36,136
309,180,36,136
307,179,36,137
306,177,36,138
303,176,37,138
299,176,37,139
296,177,37,138
291,178,36,138
287,181,36,137
283,182,36,137
279,181,36,136
